game_date,player_id,team,AVG,SLG,OBP,HR,xwOBA,K%,BB%,K/BB,Contact%,SweetSpot%,HardHit%,lineup_pos
2025-04-06,tuckk001,CHC,0.29545454545454547,0.6818181818181818,0.42592592592592593,4.0,0.4648148148148148,0.1111111111111111,0.18518518518518517,0.6,0.8888888888888888,0.4722222222222222,0.4722222222222222,3.0
2025-04-06,edmat001,LAD,0.2564102564102564,0.6410256410256411,0.275,5.0,0.38,0.125,0.025,5.0,0.875,0.3235294117647059,0.5294117647058824,3.0
2025-04-06,hernt002,LAD,0.21052631578947367,0.42105263157894735,0.2682926829268293,2.0,0.30000000000000004,0.24390243902439024,0.07317073170731707,3.3333333333333335,0.7560975609756098,0.4642857142857143,0.35714285714285715,4.0
2025-04-06,ohtas001,LAD,0.28205128205128205,0.5384615384615384,0.37777777777777777,3.0,0.3955555555555555,0.17777777777777778,0.13333333333333333,1.3333333333333333,0.8222222222222222,0.3103448275862069,0.7586206896551724,1.0
2025-04-06,pagea001,LAD,0.1,0.13333333333333333,0.2702702702702703,0.0,0.17837837837837842,0.35135135135135137,0.13513513513513514,2.6,0.6486486486486487,0.29411764705882354,0.29411764705882354,9.0
2025-04-07,bledj001,ATH,0.16666666666666666,0.19444444444444445,0.3023255813953488,0.0,0.24883720930232556,0.18604651162790697,0.16279069767441862,1.1428571428571428,0.813953488372093,0.2222222222222222,0.4074074074074074,5.0
2025-04-07,butll001,ATH,0.2894736842105263,0.4473684210526316,0.38636363636363635,1.0,0.3727272727272728,0.11363636363636363,0.13636363636363635,0.8333333333333334,0.8863636363636364,0.30303030303030304,0.45454545454545453,1.0
2025-04-07,rookb001,ATH,0.2222222222222222,0.4888888888888889,0.2391304347826087,4.0,0.3065217391304348,0.2826086956521739,0.021739130434782608,13.0,0.717391304347826,0.41935483870967744,0.4838709677419355,2.0
2025-04-07,sodet001,ATH,0.358974358974359,0.717948717948718,0.40476190476190477,4.0,0.4738095238095238,0.23809523809523808,0.07142857142857142,3.3333333333333335,0.7619047619047619,0.3448275862068966,0.5172413793103449,3.0
2025-04-07,wilsj006,ATH,0.35135135135135137,0.5675675675675675,0.35135135135135137,2.0,0.39729729729729735,0.05405405405405406,0.0,0.0,0.9459459459459459,0.36363636363636365,0.36363636363636365,7.0
2025-04-07,naylj001,AZ,0.2777777777777778,0.3611111111111111,0.38095238095238093,0.0,0.34285714285714286,0.07142857142857142,0.14285714285714285,0.5,0.9285714285714286,0.30303030303030304,0.30303030303030304,4.0
2025-04-07,perdg001,AZ,0.3055555555555556,0.4444444444444444,0.358974358974359,1.0,0.3564102564102565,0.05128205128205128,0.07692307692307693,0.6666666666666666,0.9487179487179487,0.48484848484848486,0.18181818181818182,2.0
2025-04-07,suare001,AZ,0.17142857142857143,0.6285714285714286,0.2926829268292683,5.0,0.3609756097560975,0.24390243902439024,0.12195121951219512,2.0,0.7560975609756098,0.391304347826087,0.6521739130434783,6.0
2025-04-07,crowp001,CHC,0.17391304347826086,0.2391304347826087,0.2549019607843137,0.0,0.21960784313725493,0.23529411764705882,0.0784313725490196,3.0,0.7647058823529411,0.28125,0.34375,7.0
2025-04-07,happi001,CHC,0.22,0.32,0.3389830508474576,1.0,0.3067796610169491,0.22033898305084745,0.15254237288135594,1.4444444444444444,0.7796610169491526,0.3333333333333333,0.2222222222222222,1.0
