date,vis_team,home_team,away_lineup,home_lineup
2025-03-30,ATL,SDN,"['profj001', 'rilea001', 'olsom001', 'ozunm001', 'albio001', 'harrm004', 'arcio002', 'kelej001', 'tromc001']","['tatif002', 'arral001', 'machm001', 'merrj002', 'cronj001', 'bogax001', 'sheeg001', 'heywj001', 'diaze005']"
2025-03-30,MIN,SLN,"['wallm001', 'corrc001', 'buxtb001', 'larnt001', 'jeffr002', 'frant002', 'castw003', 'miraj002', 'badeh001']","['nootl001', 'contw001', 'donob001', 'arenn001', 'burla001', 'gormn001', 'pagep001', 'scotv001', 'winnm001']"
2025-03-30,PHI,WAS,"['schwk001', 'bohma001', 'harpb003', 'castn001', 'stotb001', 'sosae001', 'marsb002', 'rojaj003', 'marcr001']","['abrac001', 'woodj004', 'garcl006', 'ruizk001', 'lowen001', 'bellj005', 'dejop001', 'crewd001', 'younj004']"
2025-03-30,ANA,CHA,"['wardt002', 'schan001', 'troum001', 'solej001', 'moncy001', 'darnt001', 'rengl001', 'andet001', 'parik002']","['maton001', 'robel002', 'benia002', 'vauga001', 'thaim001', 'vargm001', 'baldb001', 'amayj001', 'jankt001']"
2025-03-30,CLE,KCA,"['kwans001', 'thoml002', 'manzk001', 'santc002', 'jonen002', 'naylb001', 'ariag002', 'schnd002', 'roccb001']","['indij001', 'wittb002', 'pasqv001', 'peres002', 'massm001', 'renfh001', 'garcm003', 'fermf002', 'isbek001']"
2025-03-30,MIL,NYA,"['turab002', 'chouj001', 'yelic001', 'contw002', 'frels001', 'bauej001', 'mitcg001', 'ortij005', 'dunno001']","['goldp001', 'bellc002', 'judga001', 'chisj001', 'volpa001', 'wella002', 'domij003', 'riceb001', 'cabro002']"
2025-03-30,ATH,SEA,"['butll001', 'rookb001', 'bledj001', 'andum001', 'sodet001', 'wilsj006', 'urshg001', 'perej004', 'schum002']","['roblv001', 'rodrj007', 'ralec001', 'arozr001', 'garvm001', 'solad001', 'moord002', 'blisr001', 'crawj002']"
2025-03-30,COL,TBA,"['doylb001', 'tovae001', 'mcmar001', 'goodh001', 'toglm001', 'martn003', 'beckj003', 'stalj001', 'freet001']","['diazy001', 'mangj001', 'loweb001', 'aranj001', 'wallt003', 'misnk001', 'cabaj001', 'rortb001', 'deluj001']"
2025-03-30,BOS,TEX,"['duraj001', 'dever001', 'brega001', 'casat001', 'campk002', 'abrew002', 'wongc001', 'hamid002', 'rafac001']","['semim001', 'langw001', 'pedej001', 'garca005', 'burgj001', 'higak001', 'tavel001', 'ornej001', 'durae002']"
2025-03-30,BAL,TOR,"['cowsc001', 'rutsa001', 'ohear001', 'oneit001', 'mullc002', 'mounr001', 'hollj003', 'uriar001', 'matej003']","['bichb001', 'guerv002', 'santa003', 'gimea001', 'sprig001', 'wagnw001', 'rodea001', 'heint001', 'stram002']"
2025-03-31,TEX,CIN,"['semim001', 'seagc001', 'langw001', 'pedej001', 'garca005', 'burgj001', 'smitj007', 'heimj001', 'tavel001']","['friet001', 'mclam001', 'delae003', 'lux-g001', 'candj002', 'encac001', 'stees001', 'fralj001', 'trevj001']"
2025-03-31,ATL,LAN,"['harrm004', 'rilea001', 'olsom001', 'ozunm001', 'albio001', 'baldd001', 'delab001', 'kelej001', 'arcio002']","['ohtas001', 'bettm001', 'hernt002', 'confm001', 'smitw003', 'edmat001', 'muncm001', 'herne001', 'pagea001']"
2025-03-31,NYN,MIA,"['marts002', 'sotoj001', 'alonp001', 'nimmb001', 'vienm001', 'torrl001', 'batyb001', 'acunl001', 'sirij001']","['edwax001', 'lopeo001', 'wagae001', 'hilld002', 'bridj001', 'myerd001', 'hickl001', 'sanoj001', 'paulg001']"
2025-03-31,KCA,MIL,"['indij001', 'wittb002', 'pasqv001', 'peres002', 'massm001', 'renfh001', 'melem001', 'canhm001', 'garcm003']","['chouj001', 'yelic001', 'contw002', 'hoskr001', 'frels001', 'caprv001', 'mitcg001', 'ortij005', 'turab002']"
2025-03-31,COL,PHI,"['doylb001', 'tovae001', 'mcmar001', 'goodh001', 'bryak001', 'toglm001', 'farmk001', 'boucs001', 'beckj003']","['schwk001', 'bohma001', 'harpb003', 'realj001', 'keplm001', 'castn001', 'stotb001', 'marsb002', 'sosae001']"
2025-03-31,CLE,SDN,"['kwans001', 'ramij003', 'thoml002', 'santc002', 'noelj001', 'rodrj009', 'ariag002', 'hedga001', 'roccb001']","['tatif002', 'arral001', 'machm001', 'merrj002', 'cronj001', 'bogax001', 'sheeg001', 'heywj001', 'diaze005']"
2025-03-31,ANA,SLN,"['wardt002', 'schan001', 'troum001', 'solej001', 'moncy001', 'ohopl001', 'rengl001', 'parik002', 'newmk001']","['nootl001', 'contw001', 'bakel001', 'arenn001', 'herri001', 'donob001', 'walkj003', 'scotv001', 'winnm001']"
2025-03-31,CHN,ATH,"['happi001', 'tuckk001', 'suzus001', 'buscm003', 'swand001', 'hoern001', 'crowp001', 'shawm002', 'kellc002']","['butll001', 'rookb001', 'bledj001', 'langs001', 'sodet001', 'andum001', 'urshg001', 'muncm002', 'wilsj006']"
2025-03-31,BOS,BAL,"['duraj001', 'dever001', 'brega001', 'refsr001', 'stort001', 'campk002', 'gonzr003', 'wongc001', 'rafac001']","['westj002', 'rutsa001', 'oneit001', 'mounr001', 'kjerh001', 'laurr001', 'mullc002', 'uriar001', 'hollj003']"
2025-03-31,MIN,CHA,"['buxtb001', 'corrc001', 'jeffr002', 'frant002', 'miraj002', 'gaspm001', 'castw003', 'badeh001', 'vazqc001']","['vargm001', 'robel002', 'benia002', 'vauga001', 'thaim001', 'sosal001', 'jankt001', 'taylm002', 'amayj001']"
2025-03-31,SFN,HOU,"['wadel001', 'adamw002', 'lee-j001', 'chapm001', 'ramoh002', 'bailp001', 'florw001', 'yastm001', 'fitzt001']","['altuj001', 'parei001', 'alvay001', 'walkc002', 'diazy004', 'penaj004', 'smitc010', 'dubom001', 'meyej002']"
