team,player_id,game_date,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9
WSH,abrac001,2025-06-10,0.34436348,0.079556815,0.057732113,0.07742282,0.069137074,0.16038385,0.120403014,0.059642773,0.031358078
WSH,abrac001,2025-06-11,0.5632505,0.08367088,0.038005415,0.05911419,0.048342973,0.09730081,0.06781316,0.029661942,0.012840218
WSH,abrac001,2025-06-12,0.5567848,0.09483576,0.048253745,0.043605145,0.038772833,0.08855519,0.076899506,0.035017256,0.01727565
WSH,abrac001,2025-06-13,0.5792727,0.10319056,0.045743234,0.03434436,0.033619724,0.06696848,0.07600495,0.038643386,0.022212554
WSH,abrac001,2025-06-14,0.63137835,0.09177497,0.030738417,0.028049901,0.028364917,0.056028128,0.06422789,0.042167343,0.02727003
WSH,abrac001,2025-06-15,0.60624224,0.07773153,0.02657461,0.033906702,0.03363633,0.06986936,0.07100959,0.050673474,0.030356184
WSH,abrac001,2025-06-16,0.62352663,0.066903345,0.02022136,0.029925523,0.033441532,0.075520724,0.07204206,0.049393352,0.029025517
WSH,abrac001,2025-06-17,0.6653462,0.07103594,0.020216802,0.023426484,0.026409518,0.062013626,0.06607449,0.040694386,0.024782544
WSH,abrac001,2025-06-18,0.7756125,0.06983132,0.010761198,0.01053958,0.014946558,0.036785714,0.04660047,0.021491721,0.013430918
WSH,abrac001,2025-06-19,0.794631,0.07085161,0.0071534007,0.008464189,0.015573033,0.04150019,0.043483954,0.012338617,0.00600401
WSH,abrac001,2025-06-20,0.81155765,0.074729405,0.0069785584,0.005867125,0.012587584,0.036039338,0.038659267,0.00895558,0.0046254564
WSH,abrac001,2025-06-21,0.85523164,0.059654545,0.007560662,0.0072116447,0.010594256,0.023836669,0.02647982,0.0064554545,0.0029752718
WSH,abrac001,2025-06-22,0.81643283,0.07426,0.012747666,0.010189679,0.012909813,0.030165322,0.032599933,0.007301126,0.0033936407
WSH,abrac001,2025-06-23,0.79194826,0.08322508,0.015507016,0.012997918,0.018345313,0.035161622,0.032823447,0.006955347,0.003036065
WSH,abrac001,2025-06-24,0.8345502,0.07693989,0.015936721,0.010513309,0.012860462,0.021927128,0.02068807,0.004477325,0.0021067716
WSH,abrac001,2025-06-25,0.8206027,0.09316306,0.021481909,0.012276344,0.012751008,0.017350547,0.017198032,0.0034260517,0.0017503751
WSH,abrac001,2025-06-27,0.8377979,0.07446222,0.0145606315,0.010433853,0.012226415,0.02141631,0.02145686,0.005149167,0.0024966348
WSH,abrac001,2025-06-28,0.83844566,0.084208675,0.018556058,0.010258239,0.010796453,0.016430901,0.015858497,0.0035692777,0.0018761421
WSH,abrac001,2025-06-29,0.7641522,0.113548316,0.038411733,0.01913144,0.01514919,0.0226312,0.019927306,0.0047363336,0.0023122197
WSH,abrac001,2025-07-02,0.73911256,0.12714596,0.041159872,0.021360716,0.015024491,0.023455072,0.024746435,0.0053057866,0.0026891597
WSH,abrac001,2025-07-03,0.7952139,0.10572887,0.026295405,0.014695657,0.012175813,0.019409593,0.02046825,0.0038409422,0.0021714948
WSH,abrac001,2025-07-04,0.78766596,0.1087556,0.03149432,0.016792206,0.013803856,0.018860143,0.017266324,0.0034585749,0.0019029765
WSH,abrac001,2025-07-05,0.7952197,0.10933699,0.029145803,0.01546381,0.013532167,0.016683668,0.01588493,0.0030088867,0.0017241061
WSH,abrac001,2025-07-08,0.7933393,0.10322206,0.02878871,0.01636503,0.014725265,0.019250335,0.01820849,0.003959026,0.0021416768
WSH,abrac001,2025-07-09,0.8042607,0.10083923,0.02952669,0.015770316,0.012420766,0.015797991,0.015789576,0.003606705,0.0019880568
WSH,abrac001,2025-07-10,0.7589922,0.1069351,0.04209385,0.024242,0.017960021,0.023362461,0.019725524,0.0044680294,0.002220837
WSH,abrac001,2025-07-11,0.7514368,0.10975044,0.043119002,0.024396785,0.018391022,0.024801584,0.020908996,0.0048227073,0.0023725894
WSH,abrac001,2025-07-12,0.7150994,0.12818025,0.05698138,0.02848432,0.01937899,0.024543898,0.020643914,0.0044625863,0.002225167
WSH,abrac001,2025-07-18,0.68933135,0.13126676,0.06763534,0.03303657,0.022393294,0.028106926,0.021424394,0.00456534,0.0022401283
WSH,abrac001,2025-07-19,0.6263601,0.15025406,0.09734256,0.041702975,0.023795575,0.030503713,0.02291709,0.004844428,0.0022795636
